242,2:1,1:0,0.634,0.366,87
243,2:1,1:0,0.634,0.366,212
244,2:1,1:0,0.931,0.069,229
245,2:1,1:0,0.931,0.069,585
246,2:1,1:0,0.634,0.366,531
247,2:1,1:0,0.963,0.037,11
1,1:0,1:0,0.997,0.003,615
2,1:0,1:0,0.589,0.411,142
3,1:0,1:0,0.589,0.411,210
4,1:0,1:0,0.996,0.004,132
5,1:0,2:1,0.202,0.798,580
6,1:0,1:0,0.589,0.411,345
7,1:0,1:0,0.999,0.001,418
8,1:0,1:0,0.911,0.089,630
9,1:0,1:0,0.996,0.004,43
10,1:0,1:0,0.996,0.004,688
11,1:0,1:0,0.589,0.411,75
12,1:0,1:0,0.589,0.411,4
13,1:0,1:0,0.589,0.411,358
14,1:0,1:0,0.996,0.004,546
15,1:0,1:0,0.589,0.411,133
16,1:0,1:0,0.911,0.089,92
17,1:0,1:0,0.589,0.411,88
18,1:0,1:0,0.999,0.001,274
19,1:0,1:0,0.911,0.089,176
20,1:0,1:0,0.999,0.001,72
21,1:0,1:0,0.974,0.026,551
22,1:0,1:0,0.999,0.001,453
23,1:0,1:0,0.999,0.001,113
24,1:0,1:0,0.999,0.001,244
25,1:0,1:0,0.996,0.004,553
26,1:0,1:0,0.996,0.004,330
27,1:0,1:0,0.911,0.089,549
28,1:0,1:0,0.996,0.004,302
29,1:0,1:0,0.996,0.004,572
30,1:0,1:0,0.996,0.004,520
31,1:0,1:0,0.996,0.004,566
32,1:0,1:0,0.996,0.004,365
33,1:0,1:0,0.589,0.411,83
34,1:0,1:0,0.996,0.004,571
35,1:0,1:0,0.996,0.004,373
36,1:0,1:0,0.996,0.004,502
37,1:0,1:0,0.589,0.411,392
38,1:0,1:0,0.999,0.001,364
39,1:0,1:0,0.589,0.411,499
40,1:0,1:0,0.589,0.411,732
41,1:0,1:0,0.996,0.004,406
42,1:0,1:0,0.996,0.004,479
43,1:0,1:0,0.589,0.411,344
44,1:0,1:0,0.996,0.004,497
45,1:0,1:0,0.996,0.004,404
46,1:0,1:0,0.995,0.005,227
47,1:0,1:0,0.589,0.411,16
48,1:0,1:0,0.996,0.004,394
49,1:0,1:0,0.996,0.004,261
50,1:0,1:0,0.999,0.001,100
51,1:0,1:0,0.589,0.411,708
52,1:0,1:0,0.996,0.004,619
53,1:0,1:0,0.998,0.002,618
54,1:0,1:0,0.996,0.004,458
55,1:0,2:1,0.202,0.798,286
56,1:0,1:0,0.996,0.004,604
57,1:0,1:0,0.998,0.002,623
58,1:0,1:0,0.999,0.001,170
59,1:0,1:0,0.995,0.005,370
60,1:0,1:0,0.996,0.004,503
61,1:0,1:0,0.974,0.026,8
62,1:0,1:0,0.999,0.001,519
63,1:0,1:0,0.996,0.004,219
64,1:0,1:0,0.974,0.026,434
65,1:0,1:0,0.996,0.004,602
66,1:0,2:1,0.202,0.798,396
67,1:0,1:0,0.996,0.004,706
68,1:0,2:1,0.202,0.798,593
69,1:0,1:0,0.589,0.411,737
70,1:0,1:0,0.974,0.026,20
71,1:0,1:0,0.911,0.089,168
72,1:0,1:0,0.589,0.411,121
73,1:0,1:0,0.996,0.004,601
74,1:0,2:1,0.202,0.798,649
75,1:0,1:0,0.996,0.004,310
76,1:0,1:0,0.999,0.001,436
77,1:0,1:0,0.999,0.001,216
78,1:0,1:0,0.589,0.411,579
79,1:0,1:0,0.999,0.001,189
80,1:0,1:0,0.999,0.001,474
81,1:0,1:0,0.974,0.026,694
82,1:0,1:0,0.589,0.411,150
83,1:0,1:0,0.974,0.026,342
84,1:0,1:0,0.999,0.001,185
85,1:0,1:0,0.996,0.004,129
86,1:0,1:0,0.999,0.001,505
87,1:0,1:0,0.974,0.026,542
88,1:0,1:0,0.996,0.004,135
89,1:0,1:0,0.996,0.004,710
90,1:0,1:0,0.974,0.026,206
91,1:0,1:0,0.963,0.037,169
92,1:0,1:0,0.974,0.026,270
93,1:0,1:0,0.996,0.004,399
94,1:0,2:1,0.202,0.798,734
95,1:0,1:0,0.589,0.411,645
96,1:0,1:0,0.999,0.001,282
97,1:0,1:0,0.996,0.004,666
98,1:0,1:0,0.999,0.001,86
99,1:0,1:0,0.589,0.411,280
100,1:0,1:0,0.589,0.411,273
101,1:0,1:0,0.589,0.411,496
102,1:0,1:0,0.805,0.195,5
103,1:0,2:1,0.202,0.798,683
104,1:0,1:0,0.999,0.001,316
105,1:0,2:1,0.202,0.798,464
106,1:0,1:0,0.999,0.001,414
107,1:0,1:0,0.996,0.004,715
108,1:0,1:0,0.999,0.001,26
109,1:0,1:0,0.999,0.001,56
110,1:0,1:0,0.996,0.004,350
111,1:0,1:0,0.589,0.411,178
112,1:0,1:0,0.997,0.003,352
113,1:0,1:0,0.996,0.004,186
114,1:0,1:0,0.996,0.004,339
115,1:0,1:0,0.589,0.411,174
116,1:0,1:0,0.589,0.411,433
117,1:0,1:0,0.999,0.001,372
118,1:0,1:0,0.502,0.498,402
119,1:0,1:0,0.996,0.004,685
120,1:0,1:0,0.999,0.001,455
121,1:0,1:0,0.999,0.001,279
122,1:0,1:0,0.999,0.001,106
123,1:0,1:0,0.911,0.089,84
124,1:0,1:0,0.996,0.004,612
125,1:0,1:0,0.911,0.089,90
126,1:0,1:0,0.996,0.004,698
127,1:0,1:0,0.996,0.004,217
128,1:0,1:0,0.589,0.411,711
129,1:0,1:0,0.999,0.001,676
